#StopPointNumber;StopPointName;StopAreaNumber;LocationNorthingCoordinate;LocationEastingCoordinate;ZoneShortName;StopAreaTypeCode;LastModifiedUtcDateTime;ExistsFromDate
60238;Roslags Näsby station;60237;59.4364016866094;18.0584449095452;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60239;Östberga;60239;59.4059666871569;18.0733267029389;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60240;Östberga;60239;59.4058833472361;18.0734617400846;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60241;Lahäll;60241;59.4228666314821;18.0761433831113;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60242;Lahäll;60241;59.4232317018627;18.0761299742742;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60243;Näsby slott;60243;59.4269592125752;18.0866501095752;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60244;Näsby slott;60243;59.4269595705920;18.0871436058479;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60301;Universitetet;51556;59.3656933751023;18.0546766794074;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60302;Universitetet;51556;59.3656609534584;18.0546859528651;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60303;Bergiusvägen;60303;59.3702785225512;18.0535312677074;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60304;Bergiusvägen;60303;59.3704229444428;18.0534880393604;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60305;Ekhagsvägen;60305;59.3713015423816;18.0540916109645;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60306;Ekhagsvägen;60305;59.3712722099630;18.0542304289861;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60308;Ekhagstorget;60307;59.3726354011172;18.0538103812773;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60309;Professorsslingan;60309;59.3698069218172;18.0610831507137;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60310;Professorsslingan;60309;59.3704481583477;18.0603515592998;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60311;Stora Lappkärrsberget;60311;59.3695513705444;18.0628783748021;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60312;Stora Lappkärrsberget;60311;59.3696111157732;18.0630582848424;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60313;Lektorsstigen;60313;59.3695704435016;18.0669614692737;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60314;Mörby station;60314;59.3922956803277;18.0468199563044;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60315;Mörby station;60314;59.3925106484545;18.0468517545710;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60317;Mörby station;60314;59.3925533820455;18.0469778172030;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60401;Mörby centrum;60017;59.3983385352045;18.0353392288132;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60403;Storängsvägen;60403;59.4396339208639;18.0454193850072;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60404;Storängsvägen;60403;59.4398098655390;18.0445847541993;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60405;Stationsvägen;60405;59.4383988180279;18.0577138290366;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60406;Stationsvägen;60405;59.4386347567345;18.0575708414156;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60407;Åva;60407;59.4411629475594;18.0588496484200;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60408;Åva;60407;59.4412739227177;18.0586630846476;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60409;Klubbvägen;60409;59.4436916969467;18.0615032667340;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60410;Klubbvägen;60409;59.4437200365640;18.0612949682237;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60411;Tibbleskolan;60411;59.4435733174218;18.0663165969548;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60412;Tibbleskolan;60411;59.4440266408431;18.0656982466085;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60413;Grindtorpskyrkan;60413;59.4412166636184;18.0710983615028;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60414;Grindtorpskyrkan;60413;59.4412966671155;18.0708566602230;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60415;Grindtorp norra;60415;59.4406133177945;18.0759983603197;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60416;Grindtorp norra;60415;59.4407100387859;18.0760200279416;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60417;Grindtorp södra;60417;59.4371897205275;18.0741344080162;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60418;Grindtorp södra;60417;59.4370443755896;18.0742304528681;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60419;Näsbydal;60419;59.4357050184597;18.0666084003055;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60420;Näsbydal;60419;59.4356522288187;18.0669977396389;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60421;Kanalvägen;60421;59.4346917107511;18.0657983122156;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60422;Kanalvägen;60421;59.4343510999117;18.0659061371050;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60423;Lahällsviadukten;60423;59.4276550274819;18.0631617472879;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
60424;Lahällsviadukten;60423;59.4276955407480;18.0634003067460;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
