#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
18;18;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
19;19;tunnelbanans gröna linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
19;19;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
20;20;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
21;21;Lidingöbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
21;21;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
22;22;Tvärbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
22;22;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
23;23;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
24;24;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
25;25;Saltsjöbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
25;25;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
26;26;Saltsjöbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
26;26;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
27;27;Roslagsbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
27;27;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
28;28;Roslagsbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
28;28;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
29;29;Roslagsbanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
29;29;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
30;30;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
31;31;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
