#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
5360;Bollstanäs skola;50880;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5454;Bollstanäsvägen;50542;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4575;Bolviks brygga;41663;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2646;Bombergsvägen;62228;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1324;Bondegatan;10253;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3928;Bondesalen;16721;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5812;Bondevägen;51752;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
909;Boo;909;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1004134;Boo backe;40337;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4130;Boo gård;40330;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4167;Boo kyrka;40461;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4165;Boo prästgård;40465;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4134;Boovägen;40337;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
